,Cluster Labels,Address,Suburb,Region,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Suburb Latitude,Suburb Longitude
866,0,"Sanlitun, Beijing China",Sanlitun,Beijing China,Chinese Restaurant,Japanese Restaurant,Cocktail Bar,Café,Hotel,Coffee Shop,Italian Restaurant,Peking Duck Restaurant,Mexican Restaurant,Brewery,39.9361049,116.4488126
867,0,"Sarai Kale Khan, New Delhi India",Sarai Kale Khan,New Delhi India,Art Gallery,Train Station,Food Court,Bus Station,Platform,Eye Doctor,Fabric Shop,Factory,Falafel Restaurant,Exhibit,28.5866263,77.25622818
868,0,"Sarai Rohilla, New Delhi India",Sarai Rohilla,New Delhi India,Mini Golf,Zoo Exhibit,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farm,28.6678728,77.1902673
869,1,"Sarita Vihar, New Delhi India",Sarita Vihar,New Delhi India,Juice Bar,Park,Train Station,Market,Farm,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,28.5285737,77.2883311
870,2,"Sarojini Nagar, New Delhi India",Sarojini Nagar,New Delhi India,Indian Restaurant,Fast Food Restaurant,Dessert Shop,Market,Pizza Place,Department Store,Shopping Mall,Film Studio,Filipino Restaurant,Field,28.5741575,77.1953703
871,3,"Sarvodaya Enclave, New Delhi India",Sarvodaya Enclave,New Delhi India,Pub,Café,Indian Restaurant,Coffee Shop,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,28.5374783,77.2020888
872,0,"Sawtelle, Los Angeles US",Sawtelle,Los Angeles US,Video Store,Furniture / Home Store,Athletics & Sports,Pizza Place,Movie Theater,Coffee Shop,Baby Store,Pharmacy,Greek Restaurant,Sandwich Place,34.0361107,-118.4503563
873,0,"Schuylerville, New York City US",Schuylerville,New York City US,Mexican Restaurant,Pizza Place,Bank,Pharmacy,Diner,American Restaurant,Hookah Bar,Sandwich Place,Bar,Italian Restaurant,40.82657952,-73.82620276
874,0,"Sea Gate, New York City US",Sea Gate,New York City US,Video Store,Home Service,Spa,Bus Station,Beach,Zoo Exhibit,Farmers Market,Filipino Restaurant,Field,Fast Food Restaurant,40.57637538,-74.00787311
875,2,"Segambut, Kuala Lumpur Malaysia",Segambut,Kuala Lumpur Malaysia,Soccer Field,Indian Restaurant,Steakhouse,Food Truck,Farm,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,3.1864369,101.6642049
876,0,"Seputeh, Kuala Lumpur Malaysia",Seputeh,Kuala Lumpur Malaysia,Japanese Restaurant,Bowling Alley,Vegetarian / Vegan Restaurant,Vacation Rental,Malay Restaurant,Bakery,Train Station,Gym,Sushi Restaurant,Hotel Pool,3.1136874,101.68142
